country_id,name,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty
97,Liberia,5057677,49.127,19.2,3.057,752.788,38.6
98,Libya,6871287,3.623,29,4.424,17881.509,-1.1
99,Liechtenstein,38137,237.012,-1.1,-1,-1.1,-1.1
100,Lithuania,2722291,45.135,43.5,19.002,29524.265,0.7
101,Luxembourg,625976,231.447,39.7,14.312,94277.965,0.2
102,Madagascar,27691019,43.951,19.6,2.929,1416.44,77.6
103,Malawi,19129955,197.519,18.1,2.979,1095.042,71.4
104,Malaysia,32365998,96.254,29.9,6.293,26808.164,0.1
105,Maldives,540542,1454.433,30.6,4.12,15183.616,-1.1
106,Mali,20250834,15.196,16.4,2.519,2014.306,-1.1
107,Malta,441539,1454.037,42.4,19.426,36513.323,0.2
108,Marshall Islands,-1,-1.1,-1.1,-1,-1.1,-1.1
109,Mauritania,4649660,4.289,20.3,3.138,3597.633,6
110,Mauritius,1271767,622.962,37.4,10.945,20292.745,0.5
111,Mexico,128932753,66.444,29.3,6.857,17336.469,2.5
112,Micronesia,-1,-1.1,-1.1,-1,-1.1,-1.1
113,Moldova,4033963,123.655,37.6,10.864,5189.972,0.2
114,Monaco,39244,19347.5,-1.1,-1,-1.1,-1.1
115,Mongolia,3278292,1.98,28.6,4.031,11840.846,0.5
116,Montenegro,628062,46.28,39.1,14.762,16409.288,1
117,Morocco,36910558,80.08,29.6,6.769,7485.013,1
118,Mozambique,31255435,37.728,17.7,3.158,1136.103,62.9
119,Myanmar,54409794,81.721,29.1,5.732,5591.597,6.4
120,Namibia,2540916,3.078,22,3.552,9541.808,13.4
121,Nauru,-1,-1.1,-1.1,-1,-1.1,-1.1
122,Nepal,29136808,204.43,25,5.809,2442.804,15
123,Netherlands,17134873,508.544,43.2,18.779,48472.545,-1.1
124,New Zealand,4822233,18.206,37.9,15.322,36085.843,-1.1
125,Nicaragua,6624554,51.667,27.3,5.445,5321.444,3.2
126,Niger,24206636,16.955,15.1,2.553,926,44.5
127,Nigeria,206139587,209.588,18.1,2.751,5338.454,-1.1
128,North Korea,-1,-1.1,-1.1,-1,-1.1,-1.1
129,North Macedonia,2083380,82.6,39.1,13.26,13111.214,5
130,Norway,5421242,14.462,39.7,16.821,64800.057,0.2
131,Oman,5106622,14.98,30.7,2.355,37960.709,-1.1
132,Pakistan,220892331,255.573,23.5,4.495,5034.708,4
133,Palau,-1,-1.1,-1.1,-1,-1.1,-1.1
134,Panama,4314768,55.133,29.7,7.918,22267.037,2.2
135,Papau New Guinea,-1,-1.1,-1.1,-1,-1.1,-1.1
136,Paraguay,7132530,17.144,26.5,6.378,8827.01,1.7
137,Peru,32971846,25.129,29.1,7.151,12236.706,3.5
138,Philippines,109581085,351.873,25.2,4.803,7599.188,-1.1
139,Poland,37846605,124.027,41.8,16.763,27216.445,-1.1
140,Portugal,10196707,112.371,46.2,21.502,27936.896,0.5
141,Qatar,2881060,227.322,31.9,1.307,116935.6,-1.1
142,Romania,19237682,85.129,43,17.85,23313.199,5.7
143,Russia,145934460,8.823,39.6,14.178,24765.954,0.1
144,Rwanda,12952209,494.869,20.3,2.974,1854.211,56
145,Saint Kitts & Nevis,53192,212.865,-1.1,-1,24654.385,-1.1
146,Saint Lucia,183629,293.187,34.9,9.721,12951.839,-1.1
147,Samoa,-1,-1.1,-1.1,-1,-1.1,-1.1
148,San Marino,33938,556.667,-1.1,-1,56861.47,-1.1
149,Sao Tome & Principe,219161,212.841,18.7,2.886,3052.714,32.3
150,Saudi Arabia,34813867,15.322,31.9,3.295,49045.411,-1.1
151,Senegal,16743930,82.328,18.7,3.008,2470.58,38
152,Serbia,6804596,80.291,41.2,17.366,14048.881,-1.1
153,Seychelles,98340,208.354,36.2,8.606,26382.287,1.1
154,Sierra Leone,7976985,104.7,19.1,2.538,1390.3,52.2
155,Singapore,5850343,7915.731,42.4,12.922,85535.383,-1.1
